Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://bioportal.bioontology.org#ontologyId,http://data.bioontology.org/metadata/prefixIRI,http://protege.stanford.edu/ontologies/metadata/provenance.owl#importCreator,http://protege.stanford.edu/ontologies/metadata/provenance.owl#importDate,http://protege.stanford.edu/ontologies/metadata/provenance.owl#ontologyName,http://protege.stanford.edu/ontologies/metadata/provenance.owl#ontologyVersion,http://protege.stanford.edu/ontologies/metadata/provenance.owl#termUrl
http://purl.bioontology.org/ontology/SNOMEDCT/31313009,Bridging fibrosis,,Bridging fibrosis (morphologic abnormality),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/112674009,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=31313009
http://purl.bioontology.org/ontology/SNOMEDCT/50673007,Cytologic atypia,,"Atypical cell present|Cytologic atypia, NOS|Atypical cell present, NOS|Cytologic atypia (morphologic abnormality)",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/107673000,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=50673007
http://www.semanticweb.org/ontologies/2013/4/7/untitled-ontology-379#Cytolysis,Cytolysis,,missing,false,,,http://purl.bioontology.org/ontology/SNOMEDCT/30750004,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/64770007,Nodular regeneration,,"Nodular regeneration (morphologic abnormality)|Nodular regeneration, NOS",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/34636005,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=64770007
http://purl.bioontology.org/ontology/SNOMEDCT/276879000,Hydropic degeneration,,Hydatidiform degeneration|Hydropic change|Molar degeneration|Hydropic degeneration (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/33359002,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=276879000
http://purl.bioontology.org/ontology/SNOMEDCT/6574001,Necrosis,,"Necrosis, NOS|Cellular necrosis|Necrosis (morphologic abnormality)|Tissue devitalization|Cellular necrosis, NOS|Tissue devitalisation",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/37782003,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=6574001
http://purl.bioontology.org/ontology/SNOMEDCT/300324004,Finding of appearance of liver,,Finding of appearance of liver (finding)|Observation of appearance of liver,false,,,http://purl.bioontology.org/ontology/SNOMEDCT/249565005,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/9326001,Conjugated hyperbilirubinemia,,"Conjugated hyperbilirubinemia (disorder)|Conjugated hyperbilirubinaemia|Conjugated hyperbilirubinemia, NOS",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/14783006,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/88880001,Hemorrhagic necrosis,,Haemorrhagic necrosis|Hemorrhagic necrosis (morphologic abnormality),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/6574001,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=88880001
http://purl.bioontology.org/ontology/SNOMEDCT/442191002,Steatohepatitis,,Steatohepatitis (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/128241005|http://purl.bioontology.org/ontology/SNOMEDCT/197321007,,,,,,,
