COMPOUND_NAME,COMPOUND_ABBREVIATION,COMPOUND_NO,Human - in vitro,Rat - in vitro,Rat - in vivo - Liver - Single,Rat - in vivo - Liver - Repeat,Rat - in vivo - Kidney - Single,Rat - in vivo - Kidney - Repeat
ajmaline,AJM,00118,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/ajmaline.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/ajmaline.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/ajmaline.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/ajmaline.Rat.in_vivo.Liver.Repeat.zip,,
allopurinol,APL,00028,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/allopurinol.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/allopurinol.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/allopurinol.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/allopurinol.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/allopurinol.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/allopurinol.Rat.in_vivo.Kidney.Repeat.zip
allyl alcohol,AA,00010,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/allyl_alcohol.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/allyl_alcohol.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/allyl_alcohol.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/allyl_alcohol.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/allyl_alcohol.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/allyl_alcohol.Rat.in_vivo.Kidney.Repeat.zip
alpidem,ADM,00171,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/alpidem.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/alpidem.Rat.in_vitro.Liver.zip,,,,
amiodarone,AM,00033,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/amiodarone.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/amiodarone.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/amiodarone.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/amiodarone.Rat.in_vivo.Liver.Repeat.zip,,
amitriptyline,AMT,00070,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/amitriptyline.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/amitriptyline.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/amitriptyline.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/amitriptyline.Rat.in_vivo.Liver.Repeat.zip,,
amphotericin B,AMB,00157,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/amphotericin_B.Human.in_vitro.Liver.zip,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/amphotericin_B.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/amphotericin_B.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/amphotericin_B.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/amphotericin_B.Rat.in_vivo.Kidney.Repeat.zip
aspirin,ASA,00014,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/aspirin.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/aspirin.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/aspirin.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/aspirin.Rat.in_vivo.Liver.Repeat.zip,,
azathioprine,AZP,00046,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/azathioprine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/azathioprine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/azathioprine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/azathioprine.Rat.in_vivo.Liver.Repeat.zip,,
bendazac,BDZ,00129,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/bendazac.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/bendazac.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/bendazac.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/bendazac.Rat.in_vivo.Liver.Repeat.zip,,
