COMPOUND_NAME,COMPOUND_ABBREVIATION,COMPOUND_NO,Human - in vitro,Rat - in vitro,Rat - in vivo - Liver - Single,Rat - in vivo - Liver - Repeat,Rat - in vivo - Kidney - Single,Rat - in vivo - Kidney - Repeat
ciprofloxacin,CPX,00050,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/ciprofloxacin.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/ciprofloxacin.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/ciprofloxacin.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/ciprofloxacin.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/ciprofloxacin.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/ciprofloxacin.Rat.in_vivo.Kidney.Repeat.zip
cisplatin,CSP,00132,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/cisplatin.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/cisplatin.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/cisplatin.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/cisplatin.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/cisplatin.Rat.in_vivo.Kidney.Repeat.zip
clofibrate,CFB,00006,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/clofibrate.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/clofibrate.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/clofibrate.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/clofibrate.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/clofibrate.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/clofibrate.Rat.in_vivo.Kidney.Repeat.zip
clomipramine,CPM,00121,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/clomipramine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/clomipramine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/clomipramine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/clomipramine.Rat.in_vivo.Liver.Repeat.zip,,
clozapine,CZP,00174,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/clozapine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/clozapine.Rat.in_vitro.Liver.zip,,,,
colchicine,COL,00113,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/colchicine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/colchicine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/colchicine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/colchicine.Rat.in_vivo.Liver.Repeat.zip,,
coumarin,CMA,00027,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/coumarin.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/coumarin.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/coumarin.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/coumarin.Rat.in_vivo.Liver.Repeat.zip,,
cycloheximide,CHX,00A01,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/cycloheximide.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/cycloheximide.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/cycloheximide.Rat.in_vivo.Liver.Single.zip,,,
cyclophosphamide,CPA,00024,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/cyclophosphamide.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/cyclophosphamide.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/cyclophosphamide.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/cyclophosphamide.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/cyclophosphamide.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/cyclophosphamide.Rat.in_vivo.Kidney.Repeat.zip
cyclosporine A,CSA,00142,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/cyclosporine_A.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/cyclosporine_A.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/cyclosporine_A.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/cyclosporine_A.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/cyclosporine_A.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/cyclosporine_A.Rat.in_vivo.Kidney.Repeat.zip
danazol,DNZ,00127,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/danazol.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/danazol.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/danazol.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/danazol.Rat.in_vivo.Liver.Repeat.zip,,
dantrolene,DTL,00119,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/dantrolene.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/dantrolene.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/dantrolene.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/dantrolene.Rat.in_vivo.Liver.Repeat.zip,,
desmopressin acetate,DDAVP,00159,,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/desmopressin_acetate.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/desmopressin_acetate.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/desmopressin_acetate.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/desmopressin_acetate.Rat.in_vivo.Kidney.Repeat.zip
dexamethasone,DEX,00153,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/dexamethasone.Human.in_vitro.Liver.zip,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/dexamethasone.Rat.in_vivo.Liver.Single.zip,,,
diazepam,DZP,00023,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/diazepam.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/diazepam.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/diazepam.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/diazepam.Rat.in_vivo.Liver.Repeat.zip,,
diclofenac,DFNa,00019,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/diclofenac.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/diclofenac.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/diclofenac.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/diclofenac.Rat.in_vivo.Liver.Repeat.zip,,
diethyl maleate,DEM,00A05,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/diethyl_maleate.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/diethyl_maleate.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/diethyl_maleate.Rat.in_vivo.Liver.Single.zip,,,
diltiazem,DIL,00092,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/diltiazem.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/diltiazem.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/diltiazem.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/diltiazem.Rat.in_vivo.Liver.Repeat.zip,,
disopyramide,DIS,00102,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/disopyramide.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/disopyramide.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/disopyramide.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/disopyramide.Rat.in_vivo.Liver.Repeat.zip,,
disulfiram,DSF,00109,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/disulfiram.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/disulfiram.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/disulfiram.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/disulfiram.Rat.in_vivo.Liver.Repeat.zip,,
doxorubicin,DOX,00149,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/doxorubicin.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/doxorubicin.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/doxorubicin.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/doxorubicin.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/doxorubicin.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/doxorubicin.Rat.in_vivo.Kidney.Repeat.zip
enalapril,ENA,00095,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/enalapril.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/enalapril.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/enalapril.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/enalapril.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/enalapril.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/enalapril.Rat.in_vivo.Kidney.Repeat.zip
erythromycin ethylsuccinate,EME,00082,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/erythromycin_ethylsuccinate.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/erythromycin_ethylsuccinate.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/erythromycin_ethylsuccinate.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/erythromycin_ethylsuccinate.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/erythromycin_ethylsuccinate.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/erythromycin_ethylsuccinate.Rat.in_vivo.Kidney.Repeat.zip
ethambutol,EBU,00083,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/ethambutol.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/ethambutol.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/ethambutol.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/ethambutol.Rat.in_vivo.Liver.Repeat.zip,,
ethanol,ETN,00137,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/ethanol.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/ethanol.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/ethanol.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/ethanol.Rat.in_vivo.Liver.Repeat.zip,,
ethinylestradiol,EE,00055,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/ethinylestradiol.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/ethinylestradiol.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/ethinylestradiol.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/ethinylestradiol.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/ethinylestradiol.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/ethinylestradiol.Rat.in_vivo.Kidney.Repeat.zip
ethionamide,ETH,00135,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/ethionamide.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/ethionamide.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/ethionamide.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/ethionamide.Rat.in_vivo.Liver.Repeat.zip,,
ethionine,ET,00013,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/ethionine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/ethionine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/ethionine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/ethionine.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/ethionine.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/ethionine.Rat.in_vivo.Kidney.Repeat.zip
etoposide,ETP,00131,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/etoposide.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/etoposide.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/etoposide.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/etoposide.Rat.in_vivo.Liver.Repeat.zip,,
famotidine,FAM,00085,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/famotidine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/famotidine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/famotidine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/famotidine.Rat.in_vivo.Liver.Repeat.zip,,
fenofibrate,FFB,00079,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/fenofibrate.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/fenofibrate.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/fenofibrate.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/fenofibrate.Rat.in_vivo.Liver.Repeat.zip,,
fluoxetine hydrochloride,FLX,00158,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/fluoxetine_hydrochloride.Human.in_vitro.Liver.zip,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/fluoxetine_hydrochloride.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/fluoxetine_hydrochloride.Rat.in_vivo.Liver.Repeat.zip,,
fluphenazine,FP,00037,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/fluphenazine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/fluphenazine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/fluphenazine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/fluphenazine.Rat.in_vivo.Liver.Repeat.zip,,
flutamide,FT,00044,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/flutamide.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/flutamide.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/flutamide.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/flutamide.Rat.in_vivo.Liver.Repeat.zip,,
furosemide,FUR,00078,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/furosemide.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/furosemide.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/furosemide.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/furosemide.Rat.in_vivo.Liver.Repeat.zip,,
galactosamine,GaN,00A06,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/galactosamine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/galactosamine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/galactosamine.Rat.in_vivo.Liver.Single.zip,,,
gefitinib,GEF,00185,,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/gefitinib.Rat.in_vivo.Liver.Single.zip,,,
gemfibrozil,GFZ,00031,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/gemfibrozil.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/gemfibrozil.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/gemfibrozil.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/gemfibrozil.Rat.in_vivo.Liver.Repeat.zip,,
gentamicin,GMC,00147,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/gentamicin.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/gentamicin.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/gentamicin.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/gentamicin.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/gentamicin.Rat.in_vivo.Kidney.Repeat.zip
glibenclamide,GBC,00042,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/glibenclamide.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/glibenclamide.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/glibenclamide.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/glibenclamide.Rat.in_vivo.Liver.Repeat.zip,,
griseofulvin,GF,00043,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/griseofulvin.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/griseofulvin.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/griseofulvin.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/griseofulvin.Rat.in_vivo.Liver.Repeat.zip,,
haloperidol,HPL,00036,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/haloperidol.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/haloperidol.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/haloperidol.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/haloperidol.Rat.in_vivo.Liver.Repeat.zip,,
"hepatocyte growth factor, human",hHGF,00183,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/hepatocyte_growth_factor%2C_human.Human.in_vitro.Liver.zip,,,,,
