BARCODE,EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,DOSE_LEVEL,SACRIFICE_PERIOD,ORGAN,FINDING_TYPE,TOPOGRAPHY_TYPE,GRADE_TYPE,SP_FLG
No ChipData,0698,01,1,1% cholesterol + 0.25% sodium cholate,Control,4 day,Liver,"Deposit, glycogen",Peripheral,slight,true
No ChipData,0698,02,5,1% cholesterol + 0.25% sodium cholate,Control,8 day,Liver,"Deposit, glycogen",Peripheral,slight,true
003017906001,0698,05,1,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Degeneration, fatty",Peripheral,slight,false
No ChipData,0698,05,2,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Degeneration, fatty",Peripheral,slight,false
003017906002,0698,05,3,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Degeneration, fatty",Peripheral,slight,false
No ChipData,0698,05,4,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Degeneration, fatty",Peripheral,slight,false
003017906003,0698,05,5,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Degeneration, fatty",Peripheral,slight,false
003017906001,0698,05,1,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Deposit, glycogen",Peripheral,slight,false
No ChipData,0698,05,2,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Deposit, glycogen",Peripheral,slight,false
003017906002,0698,05,3,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,"Deposit, glycogen",Peripheral,slight,false
003017906001,0698,05,1,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,Increased mitosis,Hepatocyte,slight,false
No ChipData,0698,05,2,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,Increased mitosis,Hepatocyte,slight,false
003017906002,0698,05,3,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,Increased mitosis,Hepatocyte,moderate,false
No ChipData,0698,05,4,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,Increased mitosis,Hepatocyte,moderate,false
003017906003,0698,05,5,1% cholesterol + 0.25% sodium cholate,High,4 day,Liver,Increased mitosis,Hepatocyte,moderate,false
No ChipData,0698,06,2,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
003017906008,0698,06,3,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
003017906007,0698,06,1,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Degeneration, fatty",Peripheral,slight,false
No ChipData,0698,06,2,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Degeneration, fatty",Peripheral,slight,false
003017906008,0698,06,3,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Degeneration, fatty",Peripheral,slight,false
003017906009,0698,06,4,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Degeneration, fatty",Peripheral,slight,false
No ChipData,0698,06,5,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Degeneration, fatty",Peripheral,slight,false
003017906007,0698,06,1,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Deposit, glycogen",Peripheral,slight,false
No ChipData,0698,06,2,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Deposit, glycogen",Peripheral,slight,false
003017906009,0698,06,4,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Deposit, glycogen",Peripheral,slight,false
No ChipData,0698,06,5,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,"Deposit, glycogen",Peripheral,slight,false
No ChipData,0698,06,2,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,Increased mitosis,Hepatocyte,slight,false
No ChipData,0698,06,5,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,Increased mitosis,Hepatocyte,slight,false
003017906009,0698,06,4,1% cholesterol + 0.25% sodium cholate,High,8 day,Liver,Necrosis,Hepatocyte,slight,false
No ChipData,0698,07,4,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
003017906015,0698,07,5,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
No ChipData,0698,07,1,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,"Degeneration, fatty",Peripheral,moderate,false
003017906013,0698,07,2,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,"Degeneration, fatty",Peripheral,moderate,false
003017906014,0698,07,3,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,"Degeneration, fatty",Peripheral,moderate,false
No ChipData,0698,07,4,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,"Degeneration, fatty",Peripheral,moderate,false
003017906015,0698,07,5,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,"Degeneration, fatty",Peripheral,moderate,false
No ChipData,0698,07,1,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,Necrosis,Hepatocyte,slight,false
No ChipData,0698,07,4,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,Necrosis,Hepatocyte,slight,false
003017906015,0698,07,5,1% cholesterol + 0.25% sodium cholate,High,15 day,Liver,Necrosis,Hepatocyte,slight,false
003017906019,0698,08,1,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
No ChipData,0698,08,3,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
003017906021,0698,08,5,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
003017906019,0698,08,1,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Degeneration, fatty",Peripheral,severe,false
No ChipData,0698,08,2,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Degeneration, fatty",Peripheral,severe,false
No ChipData,0698,08,3,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Degeneration, fatty",Peripheral,severe,false
003017906020,0698,08,4,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Degeneration, fatty",Peripheral,severe,false
003017906021,0698,08,5,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,"Degeneration, fatty",Peripheral,severe,false
003017906019,0698,08,1,1% cholesterol + 0.25% sodium cholate,High,29 day,Liver,Necrosis,Hepatocyte,slight,false
No ChipData,0708,05,1,3-methylcholanthrene,Low,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
No ChipData,0708,05,2,3-methylcholanthrene,Low,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912020,0708,05,3,3-methylcholanthrene,Low,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
No ChipData,0708,05,2,3-methylcholanthrene,Low,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
003017912021,0708,05,4,3-methylcholanthrene,Low,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
No ChipData,0708,09,2,3-methylcholanthrene,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912023,0708,09,3,3-methylcholanthrene,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912024,0708,09,4,3-methylcholanthrene,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912025,0708,09,5,3-methylcholanthrene,Middle,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
No ChipData,0708,09,1,3-methylcholanthrene,Middle,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
003017912023,0708,09,3,3-methylcholanthrene,Middle,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
003017912024,0708,09,4,3-methylcholanthrene,Middle,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
No ChipData,0708,10,5,3-methylcholanthrene,Middle,6 hr,Liver,Single cell necrosis,Centrilobular,slight,false
No ChipData,0708,13,2,3-methylcholanthrene,High,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912026,0708,13,3,3-methylcholanthrene,High,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912027,0708,13,4,3-methylcholanthrene,High,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912028,0708,13,5,3-methylcholanthrene,High,3 hr,Liver,Increased mitosis,Hepatocyte,slight,false
003017912027,0708,13,4,3-methylcholanthrene,High,3 hr,Liver,Necrosis,Hepatocyte,slight,true
No ChipData,0708,13,2,3-methylcholanthrene,High,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
003017912026,0708,13,3,3-methylcholanthrene,High,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
003017912028,0708,13,5,3-methylcholanthrene,High,3 hr,Liver,Single cell necrosis,Centrilobular,slight,false
No ChipData,0708,13,1,3-methylcholanthrene,High,3 hr,Liver,Single cell necrosis,Centrilobular,moderate,false
003017912027,0708,13,4,3-methylcholanthrene,High,3 hr,Liver,Single cell necrosis,Centrilobular,moderate,false
003017913008,0708,14,3,3-methylcholanthrene,High,6 hr,Liver,Single cell necrosis,Centrilobular,slight,false
003017916026,0708,16,1,3-methylcholanthrene,High,24 hr,Liver,Single cell necrosis,Centrilobular,slight,false
003017401004,0510,01,2,acarbose,Control,3 hr,Liver,Microgranuloma,,minimal,true
No ChipData,0510,02,2,acarbose,Control,6 hr,Liver,Microgranuloma,,minimal,true
No ChipData,0510,04,5,acarbose,Control,24 hr,Liver,Necrosis,Liver cell,minimal,true
003017396001,0511,02,3,acarbose,Control,8 day,Liver,Microgranuloma,,minimal,true
003017396002,0511,02,5,acarbose,Control,8 day,Liver,Necrosis,Liver cell,minimal,true
No ChipData,0511,02,4,acarbose,Control,8 day,Kidney,"Cast,hyaline",Renal tubule,minimal,true
No ChipData,0511,02,1,acarbose,Control,8 day,Kidney,Cyst,,minimal,true
No ChipData,0511,02,4,acarbose,Control,8 day,Kidney,Regeneration,Renal tubule,minimal,true
No ChipData,0511,02,2,acarbose,Control,8 day,Kidney,Scar,,minimal,true
No ChipData,0511,03,2,acarbose,Control,15 day,Kidney,Cyst,,minimal,true
No ChipData,0511,03,2,acarbose,Control,15 day,Kidney,Regeneration,Renal tubule,minimal,true
No ChipData,0511,03,5,acarbose,Control,15 day,Kidney,Regeneration,Renal tubule,minimal,true
No ChipData,0511,04,4,acarbose,Control,29 day,Liver,Microgranuloma,,minimal,true
003017396026,0511,04,5,acarbose,Control,29 day,Liver,Microgranuloma,,minimal,true
No ChipData,0511,04,5,acarbose,Control,29 day,Kidney,Regeneration,Renal tubule,minimal,true
No ChipData,0510,05,2,acarbose,Low,3 hr,Liver,Microgranuloma,,minimal,true
No ChipData,0510,05,1,acarbose,Low,3 hr,Liver,Necrosis,Liver cell,minimal,true
No ChipData,0510,05,2,acarbose,Low,3 hr,Kidney,Cyst,,minimal,true
003017401019,0510,06,2,acarbose,Low,6 hr,Liver,Necrosis,Liver cell,minimal,true
No ChipData,0510,06,4,acarbose,Low,6 hr,Liver,Necrosis,Liver cell,minimal,true
No ChipData,0510,06,5,acarbose,Low,6 hr,Kidney,Cyst,,minimal,true
003017400025,0510,08,3,acarbose,Low,24 hr,Liver,Microgranuloma,,minimal,true
003017400026,0510,08,4,acarbose,Low,24 hr,Liver,Microgranuloma,,minimal,true
003017395022,0511,05,3,acarbose,Low,4 day,Liver,Microgranuloma,,minimal,true
No ChipData,0511,05,5,acarbose,Low,4 day,Kidney,Regeneration,Renal tubule,minimal,true
003017396003,0511,06,2,acarbose,Low,8 day,Liver,Microgranuloma,,minimal,true
003017396005,0511,06,5,acarbose,Low,8 day,Liver,Microgranuloma,,minimal,true
No ChipData,0511,06,1,acarbose,Low,8 day,Kidney,Cyst,,minimal,true
003017396015,0511,07,2,acarbose,Low,15 day,Liver,Microgranuloma,,minimal,true
No ChipData,0511,07,3,acarbose,Low,15 day,Kidney,Hyperplasia,Pelvic epithelium,minimal,true
003017396027,0511,08,1,acarbose,Low,29 day,Liver,Microgranuloma,,minimal,true
003017396029,0511,08,5,acarbose,Low,29 day,Liver,Microgranuloma,,minimal,true
No ChipData,0511,08,2,acarbose,Low,29 day,Kidney,Regeneration,Renal tubule,minimal,true
No ChipData,0511,08,4,acarbose,Low,29 day,Kidney,Regeneration,Renal tubule,minimal,true
No ChipData,0511,08,5,acarbose,Low,29 day,Kidney,Regeneration,Renal tubule,minimal,true
003017401011,0510,09,3,acarbose,Middle,3 hr,Liver,Microgranuloma,,minimal,true
003017401022,0510,10,1,acarbose,Middle,6 hr,Liver,Microgranuloma,,minimal,true
003017401024,0510,10,4,acarbose,Middle,6 hr,Liver,Microgranuloma,,minimal,true
No ChipData,0510,10,1,acarbose,Middle,6 hr,Kidney,Cyst,,minimal,true
No ChipData,0510,10,4,acarbose,Middle,6 hr,Kidney,Scar,,minimal,true
No ChipData,0510,11,3,acarbose,Middle,9 hr,Kidney,Cyst,,minimal,true
No ChipData,0510,12,3,acarbose,Middle,24 hr,Kidney,Cyst,,minimal,true
No ChipData,0510,12,3,acarbose,Middle,24 hr,Kidney,Regeneration,Renal tubule,minimal,true
003017395026,0511,09,5,acarbose,Middle,4 day,Liver,Microgranuloma,,minimal,true
No ChipData,0511,09,3,acarbose,Middle,4 day,Kidney,Regeneration,Renal tubule,slight,true
No ChipData,0511,10,1,acarbose,Middle,8 day,Kidney,Regeneration,Renal tubule,minimal,true
No ChipData,0511,11,2,acarbose,Middle,15 day,Liver,Microgranuloma,,minimal,true
003017396019,0511,11,3,acarbose,Middle,15 day,Liver,Microgranuloma,,minimal,true
No ChipData,0511,11,2,acarbose,Middle,15 day,Kidney,Cyst,,minimal,true
No ChipData,0511,11,2,acarbose,Middle,15 day,Kidney,Regeneration,Renal tubule,minimal,true
No ChipData,0511,12,1,acarbose,Middle,29 day,Liver,Microgranuloma,,minimal,true
No ChipData,0511,12,2,acarbose,Middle,29 day,Liver,Microgranuloma,,minimal,true
003017397001,0511,12,4,acarbose,Middle,29 day,Liver,Microgranuloma,,minimal,true
003017401026,0510,14,4,acarbose,High,6 hr,Liver,Necrosis,Liver cell,minimal,true
No ChipData,0510,14,3,acarbose,High,6 hr,Kidney,Cyst,,minimal,true
No ChipData,0510,15,4,acarbose,High,9 hr,Kidney,Cyst,,minimal,true
No ChipData,0510,16,2,acarbose,High,24 hr,Liver,Fibrosis,,minimal,true
003017401002,0510,16,3,acarbose,High,24 hr,Liver,Microgranuloma,,minimal,true
No ChipData,0511,13,2,acarbose,High,4 day,Kidney,Cyst,,minimal,true
No ChipData,0511,13,2,acarbose,High,4 day,Kidney,Scar,,minimal,true
003017396011,0511,14,4,acarbose,High,8 day,Liver,Microgranuloma,,minimal,true
No ChipData,0511,15,4,acarbose,High,15 day,Kidney,"Cast,hyaline",Renal tubule,minimal,true
No ChipData,0511,15,2,acarbose,High,15 day,Kidney,"Cyst, hemorrhagic",,minimal,true
No ChipData,0511,15,2,acarbose,High,15 day,Kidney,Scar,,minimal,true
003017397004,0511,16,2,acarbose,High,29 day,Liver,Microgranuloma,,minimal,true
No ChipData,0511,16,5,acarbose,High,29 day,Liver,Microgranuloma,,minimal,true
No ChipData,0511,16,4,acarbose,High,29 day,Kidney,Regeneration,Renal tubule,minimal,true
No ChipData,0511,16,3,acarbose,High,29 day,Kidney,Scar,,minimal,true
003017920028,0713,09,5,acetamide,Middle,4 day,Liver,Anisonucleosis,Hepatocyte,slight,false
003017920028,0713,09,5,acetamide,Middle,4 day,Liver,"Change, acidophilic",Hepatocyte,moderate,false
No ChipData,0713,09,1,acetamide,Middle,4 day,Liver,Pyknosis,Hepatocyte,slight,false
003017920027,0713,09,3,acetamide,Middle,4 day,Liver,Pyknosis,Hepatocyte,slight,false
003017920028,0713,09,5,acetamide,Middle,4 day,Liver,Pyknosis,Hepatocyte,moderate,false
003017920028,0713,09,5,acetamide,Middle,4 day,Liver,Single cell necrosis,Hepatocyte,slight,false
003017921008,0713,10,1,acetamide,Middle,8 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
003017921009,0713,10,2,acetamide,Middle,8 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
003017921010,0713,10,4,acetamide,Middle,8 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
No ChipData,0713,10,5,acetamide,Middle,8 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
003017921010,0713,10,4,acetamide,Middle,8 day,Liver,Increased mitosis,Hepatocyte,slight,false
No ChipData,0713,10,5,acetamide,Middle,8 day,Liver,Increased mitosis,Hepatocyte,slight,false
003017921008,0713,10,1,acetamide,Middle,8 day,Liver,Pyknosis,Hepatocyte,slight,false
003017921009,0713,10,2,acetamide,Middle,8 day,Liver,Pyknosis,Hepatocyte,slight,false
003017921010,0713,10,4,acetamide,Middle,8 day,Liver,Pyknosis,Hepatocyte,slight,false
No ChipData,0713,10,5,acetamide,Middle,8 day,Liver,Pyknosis,Hepatocyte,slight,false
No ChipData,0713,11,1,acetamide,Middle,15 day,Liver,Anisonucleosis,Hepatocyte,slight,false
No ChipData,0713,11,2,acetamide,Middle,15 day,Liver,Anisonucleosis,Hepatocyte,slight,false
003017921021,0713,11,4,acetamide,Middle,15 day,Liver,Anisonucleosis,Hepatocyte,slight,false
No ChipData,0713,11,1,acetamide,Middle,15 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
No ChipData,0713,11,2,acetamide,Middle,15 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
003017921020,0713,11,3,acetamide,Middle,15 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
003017921021,0713,11,4,acetamide,Middle,15 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
003017921022,0713,11,5,acetamide,Middle,15 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
No ChipData,0713,11,1,acetamide,Middle,15 day,Liver,Pyknosis,Hepatocyte,slight,false
No ChipData,0713,11,2,acetamide,Middle,15 day,Liver,Pyknosis,Hepatocyte,slight,false
003017921020,0713,11,3,acetamide,Middle,15 day,Liver,Pyknosis,Hepatocyte,slight,false
003017921021,0713,11,4,acetamide,Middle,15 day,Liver,Pyknosis,Hepatocyte,slight,false
003017921022,0713,11,5,acetamide,Middle,15 day,Liver,Pyknosis,Hepatocyte,moderate,false
003017922002,0713,12,1,acetamide,Middle,29 day,Liver,Anisonucleosis,Hepatocyte,slight,false
No ChipData,0713,12,4,acetamide,Middle,29 day,Liver,Anisonucleosis,Hepatocyte,moderate,false
003017922002,0713,12,1,acetamide,Middle,29 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
No ChipData,0713,12,5,acetamide,Middle,29 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
No ChipData,0713,12,4,acetamide,Middle,29 day,Liver,"Change, acidophilic",Hepatocyte,moderate,false
No ChipData,0713,12,4,acetamide,Middle,29 day,Liver,Hypertrophy,Hepatocyte,slight,false
No ChipData,0713,12,4,acetamide,Middle,29 day,Liver,Increased mitosis,Hepatocyte,slight,false
003017922002,0713,12,1,acetamide,Middle,29 day,Liver,Pyknosis,Hepatocyte,slight,false
003017922004,0713,12,3,acetamide,Middle,29 day,Liver,Pyknosis,Hepatocyte,slight,false
No ChipData,0713,12,4,acetamide,Middle,29 day,Liver,Pyknosis,Hepatocyte,slight,false
No ChipData,0713,12,5,acetamide,Middle,29 day,Liver,Pyknosis,Hepatocyte,slight,false
No ChipData,0713,12,4,acetamide,Middle,29 day,Liver,Single cell necrosis,Hepatocyte,slight,false
003017921001,0713,13,4,acetamide,High,4 day,Liver,Anisonucleosis,Hepatocyte,slight,false
003017920029,0713,13,1,acetamide,High,4 day,Liver,Anisonucleosis,Hepatocyte,moderate,false
003017920029,0713,13,1,acetamide,High,4 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
003017921001,0713,13,4,acetamide,High,4 day,Liver,"Change, acidophilic",Hepatocyte,moderate,false
003017920029,0713,13,1,acetamide,High,4 day,Liver,"Change, acidophilic",Hepatocyte,severe,false
No ChipData,0713,13,5,acetamide,High,4 day,Liver,Increased mitosis,Hepatocyte,slight,false
No ChipData,0713,13,5,acetamide,High,4 day,Liver,Pyknosis,Hepatocyte,slight,false
003017921001,0713,13,4,acetamide,High,4 day,Liver,Pyknosis,Hepatocyte,moderate,false
003017920029,0713,13,1,acetamide,High,4 day,Liver,Pyknosis,Hepatocyte,severe,false
003017921001,0713,13,4,acetamide,High,4 day,Liver,Single cell necrosis,Hepatocyte,slight,false
No ChipData,0713,13,5,acetamide,High,4 day,Liver,Single cell necrosis,Hepatocyte,slight,false
003017920029,0713,13,1,acetamide,High,4 day,Liver,Single cell necrosis,Hepatocyte,moderate,false
No ChipData,0713,13,5,acetamide,High,4 day,Kidney,Increased mitosis,Renal tubule,slight,true
No ChipData,0713,14,5,acetamide,High,8 day,Liver,Anisonucleosis,Hepatocyte,slight,false
003017921011,0713,14,1,acetamide,High,8 day,Liver,Anisonucleosis,Hepatocyte,moderate,false
No ChipData,0713,14,4,acetamide,High,8 day,Liver,Anisonucleosis,Hepatocyte,moderate,false
003017921011,0713,14,1,acetamide,High,8 day,Liver,"Cellular infiltration, mononuclear cell",,slight,false
No ChipData,0713,14,4,acetamide,High,8 day,Liver,"Cellular infiltration, mononuclear cell",,moderate,false
003017921013,0713,14,3,acetamide,High,8 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
003017921011,0713,14,1,acetamide,High,8 day,Liver,"Change, acidophilic",Hepatocyte,moderate,false
No ChipData,0713,14,4,acetamide,High,8 day,Liver,"Change, acidophilic",Hepatocyte,moderate,false
No ChipData,0713,14,5,acetamide,High,8 day,Liver,"Change, acidophilic",Hepatocyte,moderate,false
No ChipData,0713,14,4,acetamide,High,8 day,Liver,Increased mitosis,Hepatocyte,slight,false
No ChipData,0713,14,5,acetamide,High,8 day,Liver,Increased mitosis,Hepatocyte,slight,false
003017921011,0713,14,1,acetamide,High,8 day,Liver,Pyknosis,Hepatocyte,slight,false
003017921012,0713,14,2,acetamide,High,8 day,Liver,Pyknosis,Hepatocyte,slight,false
003017921013,0713,14,3,acetamide,High,8 day,Liver,Pyknosis,Hepatocyte,slight,false
No ChipData,0713,14,5,acetamide,High,8 day,Liver,Pyknosis,Hepatocyte,slight,false
No ChipData,0713,14,4,acetamide,High,8 day,Liver,Pyknosis,Hepatocyte,moderate,false
003017921011,0713,14,1,acetamide,High,8 day,Liver,Single cell necrosis,Hepatocyte,slight,false
No ChipData,0713,14,5,acetamide,High,8 day,Liver,Single cell necrosis,Hepatocyte,slight,false
No ChipData,0713,14,4,acetamide,High,8 day,Liver,Single cell necrosis,Hepatocyte,moderate,false
003017921023,0713,15,1,acetamide,High,15 day,Liver,Anisonucleosis,Hepatocyte,slight,false
003017921025,0713,15,3,acetamide,High,15 day,Liver,Anisonucleosis,Hepatocyte,slight,false
No ChipData,0713,15,4,acetamide,High,15 day,Liver,Anisonucleosis,Hepatocyte,slight,false
003017921024,0713,15,2,acetamide,High,15 day,Liver,Anisonucleosis,Hepatocyte,moderate,false
003017921024,0713,15,2,acetamide,High,15 day,Liver,"Cellular infiltration, mononuclear cell",,moderate,false
003017921023,0713,15,1,acetamide,High,15 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
No ChipData,0713,15,4,acetamide,High,15 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
No ChipData,0713,15,5,acetamide,High,15 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
003017921024,0713,15,2,acetamide,High,15 day,Liver,"Change, acidophilic",Hepatocyte,moderate,false
003017921025,0713,15,3,acetamide,High,15 day,Liver,"Change, acidophilic",Hepatocyte,moderate,false
003017921024,0713,15,2,acetamide,High,15 day,Liver,"Deposit, pigment",Centrilobular,slight,false
003017921024,0713,15,2,acetamide,High,15 day,Liver,Hypertrophy,Hepatocyte,slight,false
003017921023,0713,15,1,acetamide,High,15 day,Liver,Increased mitosis,Hepatocyte,slight,false
No ChipData,0713,15,4,acetamide,High,15 day,Liver,Increased mitosis,Hepatocyte,slight,false
003017921023,0713,15,1,acetamide,High,15 day,Liver,Pyknosis,Hepatocyte,slight,false
003017921025,0713,15,3,acetamide,High,15 day,Liver,Pyknosis,Hepatocyte,slight,false
No ChipData,0713,15,4,acetamide,High,15 day,Liver,Pyknosis,Hepatocyte,slight,false
No ChipData,0713,15,5,acetamide,High,15 day,Liver,Pyknosis,Hepatocyte,slight,false
003017921024,0713,15,2,acetamide,High,15 day,Liver,Pyknosis,Hepatocyte,moderate,false
003017921025,0713,15,3,acetamide,High,15 day,Liver,Single cell necrosis,Hepatocyte,slight,false
No ChipData,0713,15,4,acetamide,High,15 day,Liver,Single cell necrosis,Hepatocyte,slight,false
003017921024,0713,15,2,acetamide,High,15 day,Liver,Single cell necrosis,Hepatocyte,moderate,false
003017922005,0713,16,1,acetamide,High,29 day,Liver,Anisonucleosis,Hepatocyte,slight,false
003017922006,0713,16,2,acetamide,High,29 day,Liver,Anisonucleosis,Hepatocyte,slight,false
No ChipData,0713,16,4,acetamide,High,29 day,Liver,Anisonucleosis,Hepatocyte,slight,false
003017922007,0713,16,5,acetamide,High,29 day,Liver,Anisonucleosis,Hepatocyte,slight,false
003017922005,0713,16,1,acetamide,High,29 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
003017922006,0713,16,2,acetamide,High,29 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
003017922007,0713,16,5,acetamide,High,29 day,Liver,"Change, acidophilic",Hepatocyte,slight,false
No ChipData,0713,16,4,acetamide,High,29 day,Liver,"Change, acidophilic",Hepatocyte,moderate,false
003017922005,0713,16,1,acetamide,High,29 day,Liver,Pyknosis,Hepatocyte,slight,false
No ChipData,0713,16,4,acetamide,High,29 day,Liver,Pyknosis,Hepatocyte,slight,false
003017922007,0713,16,5,acetamide,High,29 day,Liver,Pyknosis,Hepatocyte,slight,false
003017922006,0713,16,2,acetamide,High,29 day,Liver,Pyknosis,Hepatocyte,moderate,false
003017922006,0713,16,2,acetamide,High,29 day,Liver,Single cell necrosis,Hepatocyte,slight,false
No ChipData,0568,01,2,acetamidofluorene,Control,3 hr,Kidney,"Dilatation, cystic",Renal tubule,minimal,true
No ChipData,0568,01,3,acetamidofluorene,Control,3 hr,Kidney,"Dilatation, cystic",Renal tubule,minimal,true
No ChipData,0568,02,4,acetamidofluorene,Control,6 hr,Kidney,"Dilatation, cystic",Renal tubule,minimal,true
No ChipData,0568,03,3,acetamidofluorene,Control,9 hr,Kidney,"Dilatation, cystic",Renal tubule,minimal,true
No ChipData,0568,04,4,acetamidofluorene,Control,24 hr,Kidney,"Dilatation, cystic",Renal tubule,minimal,true
No ChipData,0568,04,5,acetamidofluorene,Control,24 hr,Kidney,"Dilatation, cystic",Renal tubule,minimal,true
No ChipData,0568,04,4,acetamidofluorene,Control,24 hr,Kidney,Scar,Cortex,minimal,true
No ChipData,0569,01,3,acetamidofluorene,Control,4 day,Kidney,"Dilatation, cystic",Renal tubule,minimal,true
003017564014,0569,02,2,acetamidofluorene,Control,8 day,Liver,Microgranuloma,,minimal,true
No ChipData,0569,03,3,acetamidofluorene,Control,15 day,Kidney,"Dilatation, cystic",Renal tubule,minimal,true
No ChipData,0569,03,4,acetamidofluorene,Control,15 day,Kidney,"Dilatation, cystic",Renal tubule,minimal,true
No ChipData,0569,03,5,acetamidofluorene,Control,15 day,Kidney,"Dilatation, cystic",Renal tubule,minimal,true
No ChipData,0569,04,4,acetamidofluorene,Control,29 day,Kidney,"Dilatation, cystic",Renal tubule,minimal,true
No ChipData,0568,05,4,acetamidofluorene,Low,3 hr,Kidney,"Dilatation, cystic",Renal tubule,minimal,true
No ChipData,0568,05,5,acetamidofluorene,Low,3 hr,Kidney,"Dilatation, cystic",Renal tubule,minimal,true
