drug_name,dili_label,severity,injury_type,evidence_count,clinical_liver_risk_score
arsenic trioxide,,3.0,,,3.0
artecaine,,,E,97,
artemether,0.0,,,,
artemisinin,1.0,,D,98,
artesunate,1.0,5.0,E,99,5.0
asciminib,,,E*,100,
asciminib hydrochloride,,4.0,,,4.0
ascorbic acid,,,E,101,
asenapine,,,D,102,
ashwagandha,,,B,103,
asparaginase,1.0,7.0,A,104,7.0
asparaginase erwinia,,,E*,105,
aspirin,1.0,0.0,A [HD],106,0.0
astemizole,0.0,,,,
astralgus,,,E,107,
asunaprevir,,,C,108,
atazanavir,1.0,,D,109,
atazanavir sulfate,,3.0,,,3.0
atenolol,1.0,4.0,D,110,4.0
atezolizumab,,,B,111,
atogepant,,3.0,X,112,3.0
atoltivimab,,,E,113,
atomoxetine,1.0,,C,114,
atomoxetine hydrochloride,,8.0,,,8.0
atorvastatin,1.0,,A,115,
atorvastatin calcium,,5.0,,,5.0
atovaquone,0.0,8.0,D,116,8.0
atractyloside,1.0,,,,
atracurium,0.0,0.0,,,0.0
atropine,0.0,0.0,E,117,0.0
attapulgite,,,E,118,
auranofin,1.0,3.0,E,119,3.0
aurothioglucose,1.0,,,,
aurothiomalate,,,A,120,
avacincaptad pegol,,,E,121,
avacopan,,8.0,C,122,8.0
avalglucosidase alfa,,,X,123,
avanafil,,0.0,E*,124,0.0
avapritinib,,4.0,E*,125,4.0
avatrombopag,,,E*,126,
avatrombopag maleate,,0.0,,,0.0
avelumab,,,B,127,
avibactam,,,E,128,
axatilimab,,,E,129,
axitinib,1.0,3.0,E*,130,3.0
azacitidine,0.0,8.0,E*,131,8.0
azatadine,1.0,,,,
azathioprine,1.0,5.0,A,132,5.0
azelnidipine,1.0,,,,
azilsartan,,,E*,133,
azilsartan kamedoxomil,,0.0,,,0.0
azithromycin,1.0,7.0,A,134,7.0
azlocillin,0.0,,,,
aztreonam,0.0,5.0,E*,135,5.0
ba jiao lian,,,B,136,
bacampicillin,1.0,,,,
bacitracin,0.0,0.0,,,0.0
baclofen,1.0,3.0,D,137,3.0
bacopa,,,E,138,
baloxavir,,,E,139,
baloxavir marboxil,,0.0,,,0.0
balsalazide,,,C,140,
balsalazide disodium,,8.0,,,8.0
bambuterol,0.0,,,,
bamlanivimab,,,E,141,
baricitinib,,3.0,E*,142,3.0
basiliximab,0.0,0.0,E,143,0.0
bazedoxifene,,,E*,144,
beclomethasone,0.0,,,,
bedaquiline,,,E*,145,
bedaquiline fumarate,,3.0,,,3.0
bee pollen,,,E,146,
beeswax,,,E,147,
belantamab-mafodotin,,,D,148,
belimumab,,,E,149,
belinostat,,8.0,D,150,8.0
belladonna,,,E,151,
belumosudil mesylate,,3.0,E,152,3.0
belzutifan,,3.0,E,153,3.0
bempedoic acid,,3.0,E,154,3.0
benazepril,1.0,,D,155,
benazepril hydrochloride,,4.0,,,4.0
bendamustine,0.0,,C,156,
bendamustine hydrochloride,,0.0,,,0.0
bendazac,1.0,8.0,,,8.0
bendazolic acid,1.0,,,,
bendroflumethiazide,1.0,5.0,E*,157,5.0
benidipine,1.0,,,,
benoxaprofen,1.0,8.0,,,8.0
benralizumab,,,E,158,
benzarone,1.0,8.0,B,159,8.0
benzbromarone,1.0,8.0,B,160,8.0
benziodarone,1.0,8.0,,,8.0
benznidazole,,2.0,D,161,2.0
benzonatate,1.0,0.0,,,0.0
benzphetamine,0.0,,A [HD],162,
benzphetamine hydrochloride,,0.0,,,0.0
benztropine,0.0,,E,163,
benztropine mesylate,,0.0,,,0.0
benzylpenicilloyl polylysine,0.0,0.0,,,0.0
bepridil,1.0,,,,
beraprost,1.0,,,,
berberine,,,E,164,
berotralstat,,,E*,165,
berotralstat hydrochloride,,3.0,,,3.0
beta carotene,,,E,166,
betahistine,1.0,,,,
betaine,0.0,0.0,E,167,0.0
betamethasone,,,A [HD],168,
betaxolol,0.0,,E,169,
betaxolol hydrochloride,,3.0,,,3.0
bethanechol,0.0,,E,170,
bethanechol chloride,,0.0,,,0.0
betrixaban,,0.0,E*,171,0.0
betrixaban,,0.0,E*,172,0.0
bevacizumab,0.0,0.0,E,173,0.0
bexagliflozin,,,E,174,
bexarotene,1.0,8.0,D,175,8.0
bezafibrate,0.0,,,,
bezlotoxumab,,,E,176,
bicalutamide,1.0,8.0,B,177,8.0
bictegravir,,,E*,178,
bilberry,,,E,179,
bimekizumab,,,,180,
binimetinib,,3.0,E*,181,3.0
biotin,,,E,182,
biperiden,0.0,,E,183,
biperiden hydrochloride,,0.0,,,0.0
bisacodyl,0.0,0.0,E,184,0.0
bismuth,,,E,185,
bismuth subsalicylate,0.0,,,,
bisoprolol,0.0,,E,186,
bisoprolol fumarate,,3.0,,,3.0
bithionol,1.0,,,,
bitolterol,0.0,,E,187,
bitter melon,,,E,188,
bivalirudin,0.0,0.0,X,189,0.0
black cohosh,,,A,190,
black cumin seed,,,E,191,
bleomycin,0.0,,D,192,
bleomycin sulfate,,3.0,,,3.0
blinatumomab,,,E*,193,
boceprevir,1.0,,B,194,
bortezomib,1.0,7.0,C,195,7.0
bosentan,1.0,7.0,C,196,7.0
bosutinib,,,D,197,
bosutinib monohydrate,,4.0,,,4.0
boswellia serrata,,,E,198,
botulinum toxin type a,0.0,0.0,,,0.0
botulinum toxin type b,0.0,0.0,,,0.0
bremelanotide,,,D,199,
